subset,unit_number,last_observed_cycle,actual_rul,predicted_rul,engine_id,prediction_error,risk_level,actual_risk_level,risk_match,recommended_action
FD004,102,443,22,20.731714,FD004-102,-1.2682857513427734,critical,critical,True,urgent maintenance
FD002,58,247,26,20.750277,FD002-58,-5.249723434448242,critical,critical,True,urgent maintenance
FD004,69,162,12,20.87305,FD004-69,8.873050689697266,critical,critical,True,urgent maintenance
FD004,181,199,37,21.25085,FD004-181,-15.749149322509766,critical,high,False,urgent maintenance
FD002,87,131,21,21.475668,FD002-87,0.47566795349121094,critical,critical,True,urgent maintenance
FD004,126,220,15,21.784998,FD004-126,6.784997940063477,critical,critical,True,urgent maintenance
FD002,236,274,12,22.0611,FD002-236,10.061100006103516,critical,critical,True,urgent maintenance
FD003,78,279,20,22.53381,FD003-78,2.5338096618652344,critical,critical,True,urgent maintenance
FD002,80,278,15,22.708847,FD002-80,7.7088470458984375,critical,critical,True,urgent maintenance
FD004,15,168,12,22.87666,FD004-15,10.876659393310547,critical,critical,True,urgent maintenance
FD004,177,146,12,22.906008,FD004-177,10.906007766723633,critical,critical,True,urgent maintenance
FD004,82,146,10,23.67558,FD004-82,13.675579071044922,critical,critical,True,urgent maintenance
FD001,90,146,28,24.272709,FD001-90,-3.7272911071777344,critical,critical,True,urgent maintenance
FD002,19,172,22,25.026808,FD002-19,3.0268077850341797,critical,critical,True,urgent maintenance
FD002,179,156,35,25.055273,FD002-179,-9.944726943969727,critical,high,False,urgent maintenance
FD003,64,271,28,25.282156,FD003-64,-2.717844009399414,critical,critical,True,urgent maintenance
FD002,97,213,31,25.419538,FD002-97,-5.580461502075195,critical,high,False,urgent maintenance
FD003,76,180,27,25.60514,FD003-76,-1.3948593139648438,critical,critical,True,urgent maintenance
FD003,98,182,17,25.61949,FD003-98,8.619489669799805,critical,critical,True,urgent maintenance
FD002,42,137,27,25.90848,FD002-42,-1.0915203094482422,critical,critical,True,urgent maintenance
FD002,43,184,18,25.974108,FD002-43,7.97410774230957,critical,critical,True,urgent maintenance
FD004,116,161,13,26.02912,FD004-116,13.029119491577148,critical,critical,True,urgent maintenance
FD002,176,200,23,26.317785,FD002-176,3.3177852630615234,critical,critical,True,urgent maintenance
FD001,18,133,28,26.442034,FD001-18,-1.5579662322998047,critical,critical,True,urgent maintenance
FD004,49,273,24,26.80386,FD004-49,2.8038597106933594,critical,critical,True,urgent maintenance
FD004,42,200,30,27.277426,FD004-42,-2.722574234008789,critical,critical,True,urgent maintenance
FD004,172,132,12,27.493038,FD004-172,15.493038177490234,critical,critical,True,urgent maintenance
FD002,48,132,13,28.296947,FD002-48,15.296947479248047,critical,critical,True,urgent maintenance
FD004,151,285,31,28.323038,FD004-151,-2.676961898803711,critical,high,False,urgent maintenance
FD002,192,161,13,28.367985,FD002-192,15.367984771728516,critical,critical,True,urgent maintenance
FD004,180,367,32,28.575813,FD004-180,-3.4241867065429688,critical,high,False,urgent maintenance
FD003,100,247,28,28.762665,FD003-100,0.762664794921875,critical,critical,True,urgent maintenance
FD004,231,230,33,28.861156,FD004-231,-4.138843536376953,critical,high,False,urgent maintenance
FD004,32,260,22,28.870197,FD004-32,6.870197296142578,critical,critical,True,urgent maintenance
FD002,120,160,15,29.004215,FD002-120,14.004215240478516,critical,critical,True,urgent maintenance
FD002,109,144,35,29.985035,FD002-109,-5.014965057373047,critical,high,False,urgent maintenance
FD004,123,236,23,30.564016,FD004-123,7.564016342163086,high,critical,False,schedule maintenance
FD004,38,125,11,30.992659,FD004-38,19.992658615112305,high,critical,False,schedule maintenance
FD002,76,222,36,31.007856,FD002-76,-4.992143630981445,high,high,True,schedule maintenance
FD003,14,169,31,31.01054,FD003-14,0.010540008544921875,high,high,True,schedule maintenance
FD003,38,133,22,31.160154,FD003-38,9.160154342651367,high,critical,False,schedule maintenance
FD004,248,281,26,31.253197,FD004-248,5.253196716308594,high,critical,False,schedule maintenance
FD004,235,362,24,31.488993,FD004-235,7.488992691040039,high,critical,False,schedule maintenance
FD002,171,243,36,31.609861,FD002-171,-4.390138626098633,high,high,True,schedule maintenance
FD001,52,189,29,31.906576,FD001-52,2.906576156616211,high,critical,False,schedule maintenance
FD004,222,178,39,32.885647,FD004-222,-6.114353179931641,high,high,True,schedule maintenance
FD003,3,234,27,32.9203,FD003-3,5.920299530029297,high,critical,False,schedule maintenance
FD001,64,168,28,33.07836,FD001-64,5.078361511230469,high,critical,False,schedule maintenance
FD004,47,224,34,33.289345,FD004-47,-0.7106552124023438,high,high,True,schedule maintenance
FD004,35,278,36,33.70258,FD004-35,-2.2974205017089844,high,high,True,schedule maintenance
FD002,15,165,37,33.87322,FD002-15,-3.126781463623047,high,high,True,schedule maintenance
FD002,52,165,53,34.65278,FD002-52,-18.34722137451172,high,high,True,schedule maintenance
FD002,62,205,39,34.926144,FD002-62,-4.073856353759766,high,high,True,schedule maintenance
FD001,40,133,28,34.95542,FD001-40,6.955421447753906,high,critical,False,schedule maintenance
FD004,62,240,33,35.078266,FD004-62,2.078266143798828,high,high,True,schedule maintenance
FD003,71,367,35,35.516254,FD003-71,0.5162544250488281,high,high,True,schedule maintenance
FD004,1,230,22,35.73915,FD004-1,13.739151000976562,high,critical,False,schedule maintenance
FD001,91,234,38,35.794613,FD001-91,-2.2053871154785156,high,high,True,schedule maintenance
FD001,53,164,26,35.894577,FD001-53,9.894577026367188,high,critical,False,schedule maintenance
FD004,121,194,41,36.018124,FD004-121,-4.981876373291016,high,high,True,schedule maintenance
FD002,33,135,53,37.220425,FD002-33,-15.77957534790039,high,high,True,schedule maintenance
FD002,237,235,62,37.84106,FD002-237,-24.158939361572266,high,medium,False,schedule maintenance
FD002,41,210,44,37.880074,FD002-41,-6.119926452636719,high,high,True,schedule maintenance
FD002,39,149,48,38.50304,FD002-39,-9.496959686279297,high,high,True,schedule maintenance
FD004,240,204,98,38.705933,FD004-240,-59.2940673828125,high,low,False,schedule maintenance
FD004,73,149,23,38.849407,FD004-73,15.849407196044922,high,critical,False,schedule maintenance
FD003,75,191,45,39.482994,FD003-75,-5.517005920410156,high,high,True,schedule maintenance
FD002,150,196,34,39.845936,FD002-150,5.845935821533203,high,high,True,schedule maintenance
FD003,89,120,41,40.460613,FD003-89,-0.5393867492675781,high,high,True,schedule maintenance
FD001,77,162,34,40.50636,FD001-77,6.506359100341797,high,high,True,schedule maintenance
FD002,209,131,23,40.6622,FD002-209,17.662200927734375,high,critical,False,schedule maintenance
FD002,53,149,52,41.124588,FD002-53,-10.875411987304688,high,high,True,schedule maintenance
FD004,244,184,35,41.798183,FD004-244,6.798183441162109,high,high,True,schedule maintenance
FD002,181,199,68,41.829334,FD002-181,-26.170665740966797,high,medium,False,schedule maintenance
FD002,107,132,61,41.941265,FD002-107,-19.058734893798828,high,medium,False,schedule maintenance
FD003,40,313,41,43.196438,FD003-40,2.1964378356933594,high,high,True,schedule maintenance
FD004,150,202,57,43.611553,FD004-150,-13.388446807861328,high,high,True,schedule maintenance
FD002,206,162,48,44.137295,FD002-206,-3.8627052307128906,high,high,True,schedule maintenance
FD004,61,396,51,44.16413,FD004-61,-6.835868835449219,high,high,True,schedule maintenance
FD004,70,190,33,44.229256,FD004-70,11.229255676269531,high,high,True,schedule maintenance
FD001,46,146,47,44.419197,FD001-46,-2.5808029174804688,high,high,True,schedule maintenance
FD004,99,237,37,44.823017,FD004-99,7.823017120361328,high,high,True,schedule maintenance
FD002,40,183,37,45.46032,FD002-40,8.460319519042969,high,high,True,schedule maintenance
FD002,115,210,91,45.47542,FD002-115,-45.52457809448242,high,low,False,schedule maintenance
FD003,1,233,44,46.096355,FD003-1,2.096355438232422,high,high,True,schedule maintenance
FD003,59,149,49,46.399567,FD003-59,-2.600433349609375,high,high,True,schedule maintenance
FD004,68,241,46,46.511158,FD004-68,0.5111579895019531,high,high,True,schedule maintenance
FD004,86,254,70,46.697956,FD004-86,-23.302043914794922,high,medium,False,schedule maintenance
FD002,189,178,43,46.89755,FD002-189,3.8975486755371094,high,high,True,schedule maintenance
FD001,58,176,37,47.019012,FD001-58,10.019012451171875,high,high,True,schedule maintenance
FD004,25,486,39,47.0234,FD004-25,8.023399353027344,high,high,True,schedule maintenance
FD004,223,305,58,47.03381,FD004-223,-10.966190338134766,high,high,True,schedule maintenance
FD001,62,232,54,47.094547,FD001-62,-6.905452728271484,high,high,True,schedule maintenance
FD002,68,218,56,47.157196,FD002-68,-8.842803955078125,high,high,True,schedule maintenance
FD001,32,145,48,47.668728,FD001-32,-0.3312721252441406,high,high,True,schedule maintenance
FD002,133,186,38,47.82751,FD002-133,9.827510833740234,high,high,True,schedule maintenance
FD002,142,163,47,47.882195,FD002-142,0.8821945190429688,high,high,True,schedule maintenance
FD004,219,110,41,48.114704,FD004-219,7.114704132080078,high,high,True,schedule maintenance
FD002,144,143,43,48.179962,FD002-144,5.179962158203125,high,high,True,schedule maintenance
FD001,38,125,50,48.321835,FD001-38,-1.6781654357910156,high,high,True,schedule maintenance
FD004,197,196,36,48.66775,FD004-197,12.66775131225586,high,high,True,schedule maintenance
FD002,63,174,39,48.85569,FD002-63,9.855690002441406,high,high,True,schedule maintenance
FD001,94,133,55,49.051353,FD001-94,-5.948646545410156,high,high,True,schedule maintenance
FD004,2,153,39,49.182014,FD004-2,10.182014465332031,high,high,True,schedule maintenance
FD003,32,120,55,49.735302,FD003-32,-5.264698028564453,high,high,True,schedule maintenance
FD004,91,144,50,49.939518,FD004-91,-0.060482025146484375,high,high,True,schedule maintenance
FD002,13,164,30,50.158836,FD002-13,20.158836364746094,high,critical,False,schedule maintenance
FD002,193,245,37,50.801056,FD002-193,13.801055908203125,high,high,True,schedule maintenance
FD004,134,266,36,51.012024,FD004-134,15.01202392578125,high,high,True,schedule maintenance
FD004,187,121,24,51.87477,FD004-187,27.874771118164062,high,critical,False,schedule maintenance
FD002,132,122,39,52.304535,FD002-132,13.304534912109375,high,high,True,schedule maintenance
FD004,154,122,34,52.494663,FD004-154,18.49466323852539,high,high,True,schedule maintenance
FD004,143,327,53,52.58942,FD004-143,-0.4105796813964844,high,high,True,schedule maintenance
FD004,64,251,46,52.82621,FD004-64,6.826210021972656,high,high,True,schedule maintenance
FD001,3,126,69,53.06055,FD001-3,-15.939449310302734,high,medium,False,schedule maintenance
FD004,44,406,60,53.9708,FD004-44,-6.029201507568359,high,high,True,schedule maintenance
FD002,127,126,82,54.007874,FD002-127,-27.99212646484375,high,medium,False,schedule maintenance
FD002,38,127,55,54.10699,FD002-38,-0.8930091857910156,high,high,True,schedule maintenance
FD004,217,141,66,54.55136,FD004-217,-11.448638916015625,high,medium,False,schedule maintenance
FD003,58,119,40,54.624092,FD003-58,14.624092102050781,high,high,True,schedule maintenance
FD002,140,306,55,54.762383,FD002-140,-0.23761749267578125,high,high,True,schedule maintenance
FD001,17,165,50,55.06508,FD001-17,5.0650787353515625,high,high,True,schedule maintenance
FD002,96,140,49,55.132187,FD002-96,6.1321868896484375,high,high,True,schedule maintenance
FD003,55,203,55,55.23727,FD003-55,0.23727035522460938,high,high,True,schedule maintenance
FD004,234,179,68,55.442104,FD004-234,-12.55789566040039,high,medium,False,schedule maintenance
FD003,72,232,45,55.841446,FD003-72,10.841445922851562,high,high,True,schedule maintenance
FD002,85,183,47,56.327686,FD002-85,9.327686309814453,high,high,True,schedule maintenance
FD003,2,124,51,56.507042,FD003-2,5.507041931152344,high,high,True,schedule maintenance
FD002,160,124,42,56.567276,FD002-160,14.567276000976562,high,high,True,schedule maintenance
FD004,106,148,107,56.93818,FD004-106,-50.06182098388672,high,low,False,schedule maintenance
FD002,78,128,52,57.353813,FD002-78,5.353813171386719,high,high,True,schedule maintenance
FD002,253,139,43,58.21857,FD002-253,15.218570709228516,high,high,True,schedule maintenance
FD003,90,206,51,58.500206,FD003-90,7.500205993652344,high,high,True,schedule maintenance
FD004,199,177,92,58.65772,FD004-199,-33.342281341552734,high,low,False,schedule maintenance
FD004,185,203,46,58.908146,FD004-185,12.908145904541016,high,high,True,schedule maintenance
FD002,254,131,48,59.030674,FD002-254,11.03067398071289,high,high,True,schedule maintenance
FD003,20,207,56,59.0792,FD003-20,3.0792007446289062,high,high,True,schedule maintenance
FD001,93,244,85,59.542263,FD001-93,-25.45773696899414,high,medium,False,schedule maintenance
FD004,48,214,45,59.795433,FD004-48,14.795433044433594,high,high,True,schedule maintenance
FD003,11,103,77,60.09416,FD003-11,-16.905841827392578,medium,medium,True,inspect soon
FD002,114,153,78,60.297127,FD002-114,-17.70287322998047,medium,medium,True,inspect soon
FD003,9,238,55,60.690468,FD003-9,5.690467834472656,medium,high,False,inspect soon
FD004,13,227,71,61.03479,FD004-13,-9.9652099609375,medium,medium,True,inspect soon
FD002,8,173,90,61.288754,FD002-8,-28.711246490478516,medium,medium,True,inspect soon
FD004,23,162,26,61.782207,FD004-23,35.78220748901367,medium,critical,False,inspect soon
FD003,48,179,55,62.092392,FD003-48,7.0923919677734375,medium,high,False,inspect soon
FD001,72,131,50,62.340996,FD001-72,12.340995788574219,medium,high,False,inspect soon
FD004,67,150,46,62.621536,FD004-67,16.621536254882812,medium,high,False,inspect soon
FD004,37,345,89,62.746464,FD004-37,-26.253536224365234,medium,medium,True,inspect soon
FD004,110,348,59,62.771378,FD004-110,3.7713775634765625,medium,high,False,inspect soon
FD002,139,116,51,62.91807,FD002-139,11.918071746826172,medium,high,False,inspect soon
FD003,8,192,55,63.09747,FD003-8,8.097469329833984,medium,high,False,inspect soon
FD003,62,224,58,63.142063,FD003-62,5.142063140869141,medium,high,False,inspect soon
FD002,60,144,73,64.93956,FD002-60,-8.060440063476562,medium,medium,True,inspect soon
FD002,207,141,85,65.05252,FD002-207,-19.947479248046875,medium,medium,True,inspect soon
FD001,43,172,59,65.52468,FD001-43,6.524681091308594,medium,high,False,inspect soon
FD001,21,148,57,65.67479,FD001-21,8.674789428710938,medium,high,False,inspect soon
FD003,31,152,79,65.69184,FD003-31,-13.308158874511719,medium,medium,True,inspect soon
FD004,190,200,43,66.063255,FD004-190,23.063255310058594,medium,high,False,inspect soon
FD002,195,262,80,66.150406,FD002-195,-13.849594116210938,medium,medium,True,inspect soon
FD002,162,185,41,66.70314,FD002-162,25.703140258789062,medium,high,False,inspect soon
FD001,84,172,58,67.11402,FD001-84,9.114021301269531,medium,high,False,inspect soon
FD003,23,405,78,67.97907,FD003-23,-10.020927429199219,medium,medium,True,inspect soon
FD004,77,108,25,68.16076,FD004-77,43.16075897216797,medium,critical,False,inspect soon
FD002,222,180,75,68.21113,FD002-222,-6.788871765136719,medium,medium,True,inspect soon
FD002,226,165,108,68.305374,FD002-226,-39.69462585449219,medium,low,False,inspect soon
FD001,79,101,63,68.552185,FD001-79,5.55218505859375,medium,medium,True,inspect soon
FD001,27,140,66,69.29612,FD001-27,3.2961196899414062,medium,medium,True,inspect soon
FD003,10,131,66,70.57704,FD003-10,4.5770416259765625,medium,medium,True,inspect soon
FD004,124,230,86,70.8975,FD004-124,-15.102500915527344,medium,medium,True,inspect soon
FD004,90,118,96,70.92749,FD004-90,-25.072509765625,medium,low,False,inspect soon
FD001,13,195,95,71.03492,FD001-13,-23.96508026123047,medium,low,False,inspect soon
FD004,89,285,86,71.29725,FD004-89,-14.702751159667969,medium,medium,True,inspect soon
FD002,198,120,32,71.38097,FD002-198,39.38096618652344,medium,high,False,inspect soon
FD002,112,109,50,71.85293,FD002-112,21.852928161621094,medium,high,False,inspect soon
FD001,98,121,59,72.57568,FD001-98,13.57568359375,medium,high,False,inspect soon
FD004,147,116,56,72.871,FD004-147,16.871002197265625,medium,high,False,inspect soon
FD004,192,203,71,73.66909,FD004-192,2.6690902709960938,medium,medium,True,inspect soon
FD002,232,159,101,74.154724,FD002-232,-26.84527587890625,medium,low,False,inspect soon
FD002,183,150,67,74.66848,FD002-183,7.668479919433594,medium,medium,True,inspect soon
FD002,79,113,91,75.051,FD002-79,-15.948997497558594,medium,low,False,inspect soon
FD004,39,214,151,75.066956,FD004-39,-75.93304443359375,medium,low,False,inspect soon
FD004,119,228,109,75.14979,FD004-119,-33.85021209716797,medium,low,False,inspect soon
FD002,213,159,83,75.39082,FD002-213,-7.6091766357421875,medium,medium,True,inspect soon
FD003,93,158,67,75.422745,FD003-93,8.422744750976562,medium,medium,True,inspect soon
FD001,63,155,72,76.28557,FD001-63,4.2855682373046875,medium,medium,True,inspect soon
FD003,85,118,56,76.42496,FD003-85,20.424957275390625,medium,high,False,inspect soon
FD002,73,151,78,76.84467,FD002-73,-1.1553268432617188,medium,medium,True,inspect soon
FD003,87,218,68,76.94924,FD003-87,8.949241638183594,medium,medium,True,inspect soon
FD004,20,115,82,77.26,FD004-20,-4.739997863769531,medium,medium,True,inspect soon
FD002,36,163,100,77.290016,FD002-36,-22.709983825683594,medium,low,False,inspect soon
FD002,98,113,97,77.305664,FD002-98,-19.6943359375,medium,low,False,inspect soon
FD002,110,219,80,77.968925,FD002-110,-2.0310745239257812,medium,medium,True,inspect soon
FD002,130,141,121,78.11237,FD002-130,-42.88762664794922,medium,low,False,inspect soon
FD003,25,169,58,78.583435,FD003-25,20.58343505859375,medium,high,False,inspect soon
FD004,105,351,100,78.621635,FD004-105,-21.37836456298828,medium,low,False,inspect soon
FD002,24,210,77,79.140785,FD002-24,2.1407852172851562,medium,medium,True,inspect soon
