subset,unit_number,actual_rul,predicted_rul
FD002,52,53,34.65278
FD002,62,39,34.926144
FD001,40,28,34.95542
FD004,62,33,35.078266
FD003,71,35,35.516254
FD004,1,22,35.73915
FD001,91,38,35.794613
FD001,53,26,35.894577
FD004,121,41,36.018124
FD002,33,53,37.220425
FD002,237,62,37.84106
FD002,41,44,37.880074
FD002,39,48,38.50304
FD004,240,98,38.705933
FD004,73,23,38.849407
FD003,75,45,39.482994
FD002,150,34,39.845936
FD003,89,41,40.460613
FD001,77,34,40.50636
FD002,209,23,40.6622
FD002,53,52,41.124588
FD004,244,35,41.798183
FD002,181,68,41.829334
FD002,107,61,41.941265
FD003,40,41,43.196438
FD004,150,57,43.611553
FD002,206,48,44.137295
FD004,61,51,44.16413
FD004,70,33,44.229256
FD001,46,47,44.419197
FD004,99,37,44.823017
FD002,40,37,45.46032
FD002,115,91,45.47542
FD003,1,44,46.096355
FD003,59,49,46.399567
FD004,68,46,46.511158
FD004,86,70,46.697956
FD002,189,43,46.89755
FD001,58,37,47.019012
FD004,25,39,47.0234
FD004,223,58,47.03381
FD001,62,54,47.094547
FD002,68,56,47.157196
FD001,32,48,47.668728
FD002,133,38,47.82751
FD002,142,47,47.882195
FD004,219,41,48.114704
FD002,144,43,48.179962
FD001,38,50,48.321835
FD004,197,36,48.66775
FD002,63,39,48.85569
FD001,94,55,49.051353
FD004,2,39,49.182014
FD003,32,55,49.735302
FD004,91,50,49.939518
FD002,13,30,50.158836
FD002,193,37,50.801056
FD004,134,36,51.012024
FD004,187,24,51.87477
FD002,132,39,52.304535
FD004,154,34,52.494663
FD004,143,53,52.58942
FD004,64,46,52.82621
FD001,3,69,53.06055
FD004,44,60,53.9708
FD002,127,82,54.007874
FD002,38,55,54.10699
FD004,217,66,54.55136
FD003,58,40,54.624092
FD002,140,55,54.762383
FD001,17,50,55.06508
FD002,96,49,55.132187
FD003,55,55,55.23727
FD004,234,68,55.442104
FD003,72,45,55.841446
FD002,85,47,56.327686
FD003,2,51,56.507042
FD002,160,42,56.567276
FD004,106,107,56.93818
FD002,78,52,57.353813
FD002,253,43,58.21857
FD003,90,51,58.500206
FD004,199,92,58.65772
FD004,185,46,58.908146
FD002,254,48,59.030674
FD003,20,56,59.0792
FD001,93,85,59.542263
FD004,48,45,59.795433
FD003,11,77,60.09416
FD002,114,78,60.297127
FD003,9,55,60.690468
FD004,13,71,61.03479
FD002,8,90,61.288754
FD004,23,26,61.782207
FD003,48,55,62.092392
FD001,72,50,62.340996
FD004,67,46,62.621536
FD004,37,89,62.746464
FD004,110,59,62.771378
FD002,139,51,62.91807
FD003,8,55,63.09747
FD003,62,58,63.142063
FD002,60,73,64.93956
FD002,207,85,65.05252
FD001,43,59,65.52468
FD001,21,57,65.67479
FD003,31,79,65.69184
FD004,190,43,66.063255
FD002,195,80,66.150406
FD002,162,41,66.70314
FD001,84,58,67.11402
FD003,23,78,67.97907
FD004,77,25,68.16076
FD002,222,75,68.21113
FD002,226,108,68.305374
FD001,79,63,68.552185
FD001,27,66,69.29612
FD003,10,66,70.57704
FD004,124,86,70.8975
FD004,90,96,70.92749
FD001,13,95,71.03492
FD004,89,86,71.29725
FD002,198,32,71.38097
FD002,112,50,71.85293
FD001,98,59,72.57568
FD004,147,56,72.871
FD004,192,71,73.66909
FD002,232,101,74.154724
FD002,183,67,74.66848
FD002,79,91,75.051
FD004,39,151,75.066956
FD004,119,109,75.14979
FD002,213,83,75.39082
FD003,93,67,75.422745
FD001,63,72,76.28557
FD003,85,56,76.42496
FD002,73,78,76.84467
FD003,87,68,76.94924
FD004,20,82,77.26
FD002,36,100,77.290016
FD002,98,97,77.305664
FD002,110,80,77.968925
FD002,130,121,78.11237
FD003,25,58,78.583435
FD004,105,100,78.621635
FD002,24,77,79.140785
FD002,257,56,79.84253
FD002,202,68,80.04377
FD002,88,79,80.30557
FD004,145,59,80.35248
FD002,137,88,80.40312
FD002,104,106,80.52194
FD003,34,65,80.56512
FD001,19,87,80.76312
FD003,57,88,80.89233
FD002,30,78,81.06566
FD003,30,89,81.22785
FD004,200,96,81.497215
FD001,97,82,81.656494
FD002,248,56,81.72614
FD004,27,76,81.93257
FD004,205,154,81.9401
FD002,75,98,81.95724
FD001,45,114,81.964966
FD002,216,81,82.420364
FD002,234,89,82.43032
FD003,16,56,82.64737
FD003,42,115,82.845955
FD002,229,61,83.171165
FD002,143,81,83.5326
FD002,259,51,83.76082
FD002,163,88,83.80191
FD001,86,89,84.06016
FD003,44,69,84.14583
FD004,3,107,84.20562
FD002,17,68,84.28367
FD002,21,97,84.45224
FD003,77,86,84.55729
FD002,212,57,84.55906
FD004,171,126,84.59718
FD004,96,71,84.75964
FD002,25,88,84.97593
FD001,80,90,85.14322
FD002,239,101,85.29685
FD003,33,71,85.30659
FD002,129,79,85.32586
FD001,12,124,85.45036
FD003,7,71,85.45246
FD001,4,82,85.55429
FD001,10,96,85.63302
FD004,140,146,85.67032
FD002,128,108,85.79057
FD002,92,73,85.80109
FD002,94,97,85.82251
FD004,107,41,85.83889
FD004,214,89,85.9102
FD004,212,76,86.15056
FD002,153,99,86.50829
FD002,172,107,86.68979
FD002,55,103,86.781525
FD004,210,88,87.07093
FD002,151,115,87.600006
FD002,20,54,87.637474
FD004,138,88,87.80255
FD004,175,123,87.98
FD002,82,74,88.1896
FD004,88,56,88.378784
FD004,233,110,88.44766
FD002,235,190,88.55131
FD004,9,99,88.67081
FD004,247,112,89.07015
FD002,74,86,89.66127
FD001,11,97,89.80512
FD002,72,104,89.91798
FD004,201,59,89.99565
FD004,78,74,90.76607
FD004,36,73,90.98612
FD003,66,87,91.23331
FD002,168,82,91.58025
FD003,56,93,91.61466
FD001,57,103,91.77056
FD003,68,103,91.96519
FD004,131,101,92.77532
FD002,16,67,92.81592
FD002,35,63,92.85231
FD002,180,97,92.92556
FD004,66,133,92.97221
FD002,3,106,93.33398
FD004,120,137,93.47884
FD004,193,104,93.76281
FD004,18,104,94.27821
FD004,162,84,94.29894
FD001,5,91,94.31832
FD004,149,76,94.36416
FD003,51,78,94.69503
FD002,4,110,94.74647
FD001,8,95,94.86363
FD002,108,168,95.029106
FD004,43,42,95.197365
FD002,166,188,95.24541
FD004,112,66,95.335625
FD001,50,79,95.87589
FD004,242,81,96.10773
FD002,67,86,96.13176
FD004,45,85,96.50009
FD003,53,87,96.87956
FD004,79,78,96.88645
FD001,70,94,97.36678
FD004,221,73,97.38527
FD003,70,63,97.584885
FD004,208,91,97.80702
FD003,5,101,97.82529
FD004,87,94,98.2576
FD001,16,84,98.32791
FD004,132,116,98.54857
FD002,238,134,98.90381
FD004,24,142,98.957924
FD002,219,73,99.076416
FD002,152,59,99.46438
FD004,29,64,99.5869
FD004,137,159,99.63898
FD003,84,104,99.73056
FD001,6,93,100.546
FD002,191,148,100.74146
FD001,30,115,100.74282
FD004,95,171,100.79027
FD002,156,83,101.133705
FD002,46,112,101.217545
FD002,86,194,101.24496
FD002,136,87,101.28135
FD001,29,90,101.43889
FD002,10,79,101.475746
FD001,74,126,101.88686
FD001,95,128,101.93503
FD004,92,73,102.061745
FD004,17,162,102.069305
FD004,54,176,102.35633
FD002,157,171,102.47693
FD002,29,83,102.56046
FD002,118,150,102.597725
FD002,147,92,102.629745
FD004,161,82,102.64894
FD004,153,173,102.72937
FD002,230,85,102.74938
FD004,14,105,102.81115
FD002,95,73,102.84025
FD002,126,124,103.06369
FD004,236,75,103.112724
FD002,145,98,103.13464
FD001,28,97,103.20344
FD004,6,78,103.239426
FD003,29,124,103.36012
FD002,203,192,103.49253
FD004,230,98,103.501564
FD002,169,135,103.56523
FD004,75,124,103.72372
FD001,51,114,103.89808
FD001,67,77,104.35486
FD004,168,87,104.51631
FD004,130,165,104.537964
FD002,258,131,104.57456
FD003,96,113,104.65506
FD004,80,114,104.8243
FD003,67,92,104.85278
FD003,73,99,105.05657
FD003,35,87,105.246254
FD001,75,113,105.40186
FD004,176,103,105.51076
FD004,26,92,105.6029
FD002,47,131,105.706505
FD003,69,100,105.79319
FD004,21,91,105.858154
FD004,163,95,106.13237
FD002,188,183,106.167015
FD003,12,115,106.168594
FD004,207,116,106.260765
FD004,56,67,106.281555
FD003,60,128,106.48626
FD004,50,86,106.50253
FD002,119,106,106.64593
FD004,206,109,106.646736
FD004,117,75,106.67775
FD002,54,106,107.02301
FD002,170,182,107.37284
FD002,187,158,107.38239
FD004,148,145,107.54258
FD001,15,83,107.54829
FD003,18,132,107.56574
FD001,7,91,107.572876
FD004,160,83,107.65132
FD004,178,106,107.78119
FD001,73,131,108.35375
FD004,74,89,108.36712
FD001,48,92,108.38091
FD002,61,169,108.98761
FD002,141,155,109.01263
FD002,247,148,109.557915
FD002,49,122,109.63135
FD002,196,93,109.71001
FD001,60,100,109.89772
FD001,71,118,109.946465
FD003,41,131,110.01328
FD004,108,153,110.02359
FD002,93,183,110.15981
FD004,60,139,110.32032
FD002,255,122,110.421875
FD001,26,119,110.45514
FD003,28,144,110.470665
FD004,152,88,110.86299
FD002,246,152,111.21188
FD001,59,114,111.26776
FD002,77,94,111.327324
FD002,106,120,111.43101
FD004,7,94,111.47118
FD004,4,75,111.48152
FD004,16,160,111.52655
FD004,115,139,111.58409
FD002,214,172,111.6109
FD002,125,179,111.626434
FD004,211,108,111.76556
FD004,165,111,111.79631
FD003,22,119,111.896286
FD001,55,137,111.98
FD002,12,73,112.17131
FD002,175,142,112.81119
FD004,128,126,112.89577
FD002,2,79,113.027756
FD004,188,135,113.104744
FD004,57,97,113.12142
FD002,200,174,113.19818
FD002,121,67,113.28515
FD004,167,109,113.34437
FD004,63,184,113.34449
FD004,83,172,113.426704
FD004,97,105,113.64134
FD002,215,101,113.67093
FD003,13,115,113.67721
FD004,182,116,113.79266
FD002,199,103,113.940865
FD001,83,137,113.97857
FD002,167,96,114.14103
FD002,26,163,114.200195
FD004,196,89,114.28247
FD002,131,120,114.41884
FD001,23,113,114.48969
FD003,95,127,114.77116
FD003,15,108,114.802155
FD002,155,108,114.88958
FD003,19,85,114.987076
FD004,41,97,115.27945
FD001,96,137,115.31508
FD003,43,128,115.42418
FD002,31,75,115.435165
FD002,174,95,115.53779
FD004,122,192,115.62488
FD003,27,88,115.62801
FD004,189,56,115.693794
FD002,6,155,115.78697
FD004,30,118,115.920685
FD002,178,144,116.15384
FD002,243,161,116.25114
FD002,117,181,116.32284
FD002,27,126,116.43439
FD002,81,141,116.47238
FD004,85,115,116.58823
FD002,217,86,116.90993
FD004,93,154,116.91915
FD001,89,136,116.99475
FD002,105,116,117.1765
FD002,228,126,117.23023
FD004,136,122,117.32852
FD002,123,180,117.43812
FD001,65,128,117.44405
FD004,34,126,117.492615
FD002,256,191,117.52586
FD004,139,173,117.5635
FD002,154,103,117.64434
FD001,69,121,117.6636
FD002,149,165,117.66792
FD001,54,97,117.70938
FD003,83,145,117.720146
FD002,251,84,117.73199
FD002,56,152,117.73334
FD003,4,120,117.8614
FD004,157,172,117.884895
FD004,127,195,117.9441
FD002,57,123,118.04274
FD003,52,120,118.057915
FD002,184,191,118.12719
FD004,51,119,118.209076
FD002,221,139,118.25963
FD004,5,149,118.44673
FD001,44,109,118.47983
FD004,243,118,118.5317
FD004,129,120,118.57565
FD002,220,121,118.598976
FD004,55,157,118.613785
FD002,37,151,118.62357
FD002,240,121,118.7765
FD004,72,176,118.79819
FD003,54,87,118.80459
FD002,205,134,118.83662
FD004,33,147,118.85398
FD004,98,113,118.855
FD002,69,115,118.93131
FD001,99,117,119.02131
FD004,146,100,119.061806
FD001,47,135,119.069496
FD004,81,96,119.137215
FD002,194,122,119.144714
FD004,218,154,119.14609
FD004,195,166,119.19626
FD004,84,166,119.25436
FD001,9,111,119.61708
FD002,66,121,119.67209
FD004,226,88,119.8028
FD001,14,107,119.881805
FD001,39,142,119.94291
FD003,36,137,119.96672
FD004,46,134,120.00982
FD003,6,99,120.091675
FD004,94,129,120.20505
FD004,53,142,120.363434
FD002,244,181,120.44414
FD004,166,72,120.512474
FD002,197,132,120.53307
FD004,215,145,120.5464
FD003,49,135,120.69216
FD002,89,97,120.93255
FD003,17,136,120.9858
FD004,59,154,121.10964
FD002,59,178,121.20578
FD002,113,151,121.2149
FD004,11,143,121.23211
FD002,23,142,121.2747
FD002,51,98,121.35353
FD004,220,182,121.39027
FD002,204,121,121.59125
FD001,87,116,121.67421
FD003,45,111,121.864914
FD004,104,120,122.016045
FD004,169,179,122.022545
FD002,165,155,122.11674
FD002,122,145,122.16268
FD002,241,167,122.28839
FD004,204,151,122.32381
FD001,25,145,122.35115
FD004,156,133,122.40953
FD001,1,112,122.53528
FD002,18,99,122.570854
FD002,135,167,122.596504
FD001,2,98,122.597404
FD003,63,117,122.61822
FD001,88,115,122.65429
FD003,65,115,122.700386
FD002,28,138,122.74523
FD004,241,176,122.76094
FD003,47,137,122.78987
FD002,224,145,122.94337
FD004,186,142,123.153336
FD004,191,178,123.19885
FD004,141,130,123.25126
FD004,227,162,123.353004
FD002,34,173,123.40002
FD003,80,133,123.40552
FD004,225,145,123.481575
FD003,97,123,123.603485
FD004,228,189,123.73564
FD003,88,144,123.92399
FD004,245,131,124.01007
FD004,170,158,124.03114
FD003,91,81,124.12283
FD002,71,148,124.22112
FD003,61,129,124.25367
FD004,52,151,124.266174
FD004,144,162,124.41863
FD003,74,117,124.50685
FD002,233,153,124.546776
FD002,201,111,124.75084
FD004,28,124,124.775505
FD003,37,145,124.806885
FD002,83,146,124.8522
FD002,249,111,124.869194
FD004,142,108,124.97353
FD004,109,126,125.06489
FD002,218,165,125.40266
FD004,10,162,125.407295
FD004,133,126,125.50676
FD001,22,111,125.54584
FD001,85,118,125.671394
FD004,203,167,125.75123
FD001,78,107,125.7847
FD004,229,120,125.84211
FD002,223,151,125.94822
FD001,33,106,126.47576
FD004,239,166,126.63933
FD004,19,194,126.781746
FD004,164,174,127.112946
FD004,76,163,127.32132
FD004,232,184,127.399315
FD002,101,106,127.51243
FD004,246,194,127.87869
FD004,125,184,128.64368
